Wavelength (nm),Absorbance
190.0,5.071
190.5,5.301
191.0,5.623
191.5,6.028
192.0,5.902
192.5,5.972
193.0,6.129
193.5,6.923
194.0,7.264
194.5,7.391
195.0,7.206
195.5,7.424
196.0,7.613
196.5,7.911
197.0,8.048
197.5,8.220
198.0,8.342
198.5,8.369
199.0,8.183
199.5,8.147
200.0,8.071
200.5,8.100
201.0,8.018
201.5,8.066
202.0,8.147
202.5,8.058
203.0,8.139
203.5,8.196
204.0,8.317
204.5,8.253
205.0,8.167
205.5,8.195
206.0,8.312
206.5,8.353
207.0,8.518
207.5,8.354
208.0,8.410
208.5,8.438
209.0,8.579
209.5,8.608
210.0,8.617
210.5,8.674
211.0,8.699
211.5,8.695
212.0,8.730
212.5,8.824
213.0,8.847
213.5,8.953
214.0,9.080
214.5,9.162
215.0,9.311
215.5,9.389
216.0,9.523
216.5,9.649
217.0,9.667
217.5,9.842
218.0,9.903
218.5,10.031
219.0,10.103
219.5,10.073
220.0,10.255
220.5,10.269
221.0,10.317
221.5,10.314
222.0,10.350
222.5,10.381
223.0,10.350
223.5,10.343
224.0,10.362
224.5,10.298
225.0,10.223
225.5,10.229
226.0,10.262
226.5,10.306
227.0,10.218
227.5,10.207
228.0,10.170
228.5,10.134
229.0,10.082
229.5,10.058
230.0,10.040
230.5,9.961
231.0,9.901
231.5,9.898
232.0,9.876
232.5,9.829
233.0,9.749
233.5,9.714
234.0,9.730
234.5,9.710
235.0,9.736
235.5,9.685
236.0,9.744
236.5,9.721
237.0,9.670
237.5,9.545
238.0,9.484
238.5,9.491
239.0,9.505
239.5,9.465
240.0,9.399
240.5,9.392
241.0,9.327
241.5,9.367
242.0,9.343
242.5,9.410
243.0,9.326
243.5,9.264
244.0,9.239
244.5,9.266
245.0,9.303
245.5,9.299
246.0,9.307
246.5,9.318
247.0,9.260
247.5,9.262
248.0,9.310
248.5,9.368
249.0,9.391
249.5,9.337
250.0,9.335
250.5,9.329
251.0,9.344
251.5,9.407
252.0,9.437
252.5,9.473
253.0,9.472
253.5,9.503
254.0,9.507
254.5,9.540
255.0,9.558
255.5,9.571
256.0,9.618
256.5,9.596
257.0,9.663
257.5,9.662
258.0,9.757
258.5,9.754
259.0,9.767
259.5,9.779
260.0,9.804
260.5,9.860
261.0,9.894
261.5,9.916
262.0,9.918
262.5,9.934
263.0,9.926
263.5,9.941
264.0,9.941
264.5,10.041
265.0,10.081
265.5,10.082
266.0,10.002
266.5,10.009
267.0,10.050
267.5,10.121
268.0,10.129
268.5,10.098
269.0,10.150
269.5,10.165
270.0,10.217
270.5,10.199
271.0,10.223
271.5,10.223
272.0,10.199
272.5,10.201
273.0,10.197
273.5,10.215
274.0,10.249
274.5,10.243
275.0,10.248
275.5,10.206
276.0,10.271
276.5,10.284
277.0,10.297
277.5,10.230
278.0,10.282
278.5,10.314
279.0,10.366
279.5,10.310
280.0,10.342
280.5,10.335
281.0,10.346
281.5,10.290
282.0,10.283
282.5,10.316
283.0,10.330
283.5,10.324
284.0,10.268
284.5,10.269
285.0,10.309
285.5,10.360
286.0,10.366
286.5,10.369
287.0,10.408
287.5,10.414
288.0,10.426
288.5,10.404
289.0,10.405
289.5,10.418
290.0,10.422
290.5,10.467
291.0,10.469
291.5,10.522
292.0,10.534
292.5,10.541
293.0,10.497
293.5,10.494
294.0,10.518
294.5,10.552
295.0,10.547
295.5,10.550
296.0,10.552
296.5,10.585
297.0,10.604
297.5,10.612
298.0,10.591
298.5,10.595
299.0,10.561
299.5,10.577
300.0,10.569
300.5,10.600
301.0,10.567
301.5,10.532
302.0,10.557
302.5,10.587
303.0,10.662
303.5,10.651
304.0,10.692
304.5,10.705
305.0,10.800
305.5,10.795
306.0,10.746
306.5,10.748
307.0,10.787
307.5,10.815
308.0,10.754
308.5,10.713
309.0,10.748
309.5,10.726
310.0,10.716
310.5,10.711
311.0,10.812
311.5,10.818
312.0,10.763
312.5,10.627
313.0,10.650
313.5,10.651
314.0,10.744
314.5,10.710
315.0,10.698
315.5,10.579
316.0,10.544
316.5,10.570
317.0,10.608
317.5,10.543
318.0,10.494
318.5,10.430
319.0,10.416
319.5,10.370
320.0,10.370
320.5,10.361
321.0,10.347
321.5,10.271
322.0,10.219
322.5,10.136
323.0,10.131
323.5,10.126
324.0,10.129
324.5,10.081
325.0,10.043
325.5,9.984
326.0,9.931
326.5,9.859
327.0,9.762
327.5,9.718
328.0,9.668
328.5,9.661
329.0,9.603
329.5,9.542
330.0,9.459
330.5,9.360
331.0,9.275
331.5,9.184
332.0,9.129
332.5,9.045
333.0,8.985
333.5,8.879
334.0,8.782
334.5,8.678
335.0,8.573
335.5,8.497
336.0,8.397
336.5,8.307
337.0,8.168
337.5,8.067
338.0,7.933
338.5,7.826
339.0,7.684
339.5,7.588
340.0,7.459
340.5,7.333
341.0,7.225
341.5,7.101
342.0,6.969
342.5,6.821
343.0,6.689
343.5,6.561
344.0,6.404
344.5,6.269
345.0,6.116
345.5,5.964
346.0,5.808
346.5,5.672
347.0,5.548
347.5,5.402
348.0,5.238
348.5,5.071
349.0,4.929
349.5,4.779
350.0,4.651
350.5,4.515
351.0,4.386
351.5,4.254
352.0,4.116
352.5,3.988
353.0,3.854
353.5,3.724
354.0,3.605
354.5,3.488
355.0,3.374
355.5,3.258
356.0,3.142
356.5,3.032
357.0,2.923
357.5,2.829
358.0,2.728
358.5,2.630
359.0,2.531
359.5,2.444
360.0,2.366
360.5,2.291
361.0,2.214
361.5,2.137
362.0,2.058
362.5,1.992
363.0,1.922
363.5,1.857
364.0,1.788
364.5,1.724
365.0,1.658
365.5,1.599
366.0,1.547
366.5,1.500
367.0,1.451
367.5,1.402
368.0,1.356
368.5,1.313
369.0,1.267
369.5,1.224
370.0,1.184
370.5,1.142
371.0,1.102
371.5,1.066
372.0,1.034
372.5,1.004
373.0,0.972
373.5,0.940
374.0,0.909
374.5,0.879
375.0,0.853
375.5,0.828
376.0,0.803
376.5,0.780
377.0,0.756
377.5,0.732
378.0,0.709
378.5,0.689
379.0,0.670
379.5,0.651
380.0,0.632
380.5,0.615
381.0,0.598
381.5,0.581
382.0,0.564
382.5,0.549
383.0,0.535
383.5,0.522
384.0,0.508
384.5,0.494
385.0,0.481
385.5,0.468
386.0,0.456
386.5,0.445
387.0,0.434
387.5,0.423
388.0,0.413
388.5,0.403
389.0,0.393
389.5,0.384
390.0,0.375
390.5,0.367
391.0,0.358
391.5,0.351
392.0,0.342
392.5,0.335
393.0,0.327
393.5,0.321
394.0,0.313
394.5,0.307
395.0,0.300
395.5,0.294
396.0,0.289
396.5,0.283
397.0,0.277
397.5,0.272
398.0,0.267
398.5,0.263
399.0,0.259
399.5,0.254
400.0,0.249
400.5,0.244
401.0,0.240
401.5,0.236
402.0,0.232
402.5,0.228
403.0,0.224
403.5,0.220
404.0,0.217
404.5,0.214
405.0,0.211
405.5,0.207
406.0,0.204
406.5,0.201
407.0,0.198
407.5,0.195
408.0,0.192
408.5,0.190
409.0,0.187
409.5,0.184
410.0,0.181
410.5,0.179
411.0,0.177
411.5,0.175
412.0,0.173
412.5,0.170
413.0,0.169
413.5,0.167
414.0,0.164
414.5,0.163
415.0,0.161
415.5,0.159
416.0,0.157
416.5,0.155
417.0,0.153
417.5,0.151
418.0,0.150
418.5,0.148
419.0,0.147
419.5,0.145
420.0,0.144
420.5,0.142
421.0,0.140
421.5,0.138
422.0,0.137
422.5,0.136
423.0,0.135
423.5,0.133
424.0,0.132
424.5,0.130
425.0,0.129
425.5,0.128
426.0,0.128
426.5,0.126
427.0,0.124
427.5,0.123
428.0,0.122
428.5,0.122
429.0,0.120
429.5,0.119
430.0,0.118
430.5,0.117
431.0,0.116
431.5,0.115
432.0,0.114
432.5,0.113
433.0,0.112
433.5,0.111
434.0,0.110
434.5,0.109
435.0,0.108
435.5,0.107
436.0,0.106
436.5,0.105
