Wavelength (nm),Absorbance,"Energy, eV",Direct transition,Indirect transition
190.0,6.383,6.526315789473684,1735.3451137506922,6.454260119038473
190.5,6.703,6.509186351706036,1903.6708029952947,6.605382359522086
191.0,6.587,6.492146596858639,1828.7399932677286,6.53940132072561
191.5,6.847,6.4751958224543085,1965.6512616051648,6.658503269980773
192.0,6.923,6.458333333333333,1999.0772469184028,6.686631563550265
192.5,7.291,6.441558441558442,2205.749041136111,6.8531308609571
193.0,7.31,6.424870466321243,2205.786661655346,6.853160081948202
193.5,6.931,6.40826873385013,1972.755347597968,6.664511279479933
194.0,7.121,6.391752577319588,2071.6762249335748,6.746530226945758
194.5,7.357,6.375321336760925,2199.913835684406,6.848593948727734
195.0,7.64,6.358974358974359,2360.26553477975,6.970119375058371
195.5,7.815,6.342710997442455,2457.0150210948386,7.0404748735445954
196.0,8.003,6.326530612244898,2563.52089333611,7.115562134490564
196.5,8.241,6.310432569974555,2704.4445984266654,7.211398949521536
197.0,8.292,6.2944162436548226,2724.1405119018787,7.224493026668777
197.5,8.392,6.2784810126582276,2776.1320548988942,7.25871976716472
198.0,8.225,6.262626262626263,2653.290506070809,7.177053783419838
198.5,8.1,6.246851385390428,2560.309017886035,7.113332286745957
199.0,8.006,6.231155778894473,2488.676168622005,7.063047017104527
199.5,8.065,6.215538847117794,2512.848546428728,7.080135648559638
200.0,7.956,6.2,2433.1726598400005,7.023332542319209
200.5,7.899,6.184538653366584,2386.4857421931456,6.989397028567103
201.0,7.899,6.169154228855722,2374.6274462909337,6.980698335677552
201.5,7.985,6.153846153846154,2414.588402366864,7.009883133010246
202.0,8.052,6.138613861386139,2443.1389292814424,7.0305134102625235
202.5,8.139,6.1234567901234565,2483.907462145404,7.059661097730882
203.0,8.12,6.108374384236453,2460.1599999999994,7.042726744663603
203.5,8.073,6.093366093366093,2419.8277241734027,7.013682661180535
204.0,8.076,6.078431372549019,2409.770347404845,7.006383643842655
204.5,8.198,6.06356968215159,2470.9990224926923,7.050471207960411
205.0,8.392,6.048780487804878,2576.7162633289704,7.124701106268145
205.5,8.511,6.034063260340632,2637.4297393361385,7.1663039573241045
206.0,8.444,6.019417475728155,2583.4816361956837,7.1293731256716075
206.5,8.44,6.004842615012106,2568.5507533021823,7.1190499134858
