Wavelength (nm),Absorbance
190.0,6.383
190.5,6.703
191.0,6.587
191.5,6.847
192.0,6.923
192.5,7.291
193.0,7.310
193.5,6.931
194.0,7.121
194.5,7.357
195.0,7.640
195.5,7.815
196.0,8.003
196.5,8.241
197.0,8.292
197.5,8.392
198.0,8.225
198.5,8.100
199.0,8.006
199.5,8.065
200.0,7.956
200.5,7.899
201.0,7.899
201.5,7.985
202.0,8.052
202.5,8.139
203.0,8.120
203.5,8.073
204.0,8.076
204.5,8.198
205.0,8.392
205.5,8.511
206.0,8.444
206.5,8.440
207.0,8.355
207.5,8.399
208.0,8.387
208.5,8.430
209.0,8.478
209.5,8.462
210.0,8.478
210.5,8.445
211.0,8.405
211.5,8.392
212.0,8.386
212.5,8.458
213.0,8.537
213.5,8.563
214.0,8.494
214.5,8.414
215.0,8.396
215.5,8.451
216.0,8.577
216.5,8.610
217.0,8.557
217.5,8.525
218.0,8.538
218.5,8.508
219.0,8.447
219.5,8.425
220.0,8.455
220.5,8.352
221.0,8.294
221.5,8.298
222.0,8.387
222.5,8.470
223.0,8.420
223.5,8.401
224.0,8.343
224.5,8.379
225.0,8.365
225.5,8.337
226.0,8.310
226.5,8.352
227.0,8.352
227.5,8.313
228.0,8.341
228.5,8.280
229.0,8.273
229.5,8.177
230.0,8.246
230.5,8.237
231.0,8.278
231.5,8.203
232.0,8.193
232.5,8.165
233.0,8.219
233.5,8.276
234.0,8.221
234.5,8.168
235.0,8.124
235.5,8.111
236.0,8.133
236.5,8.144
237.0,8.175
237.5,8.170
238.0,8.158
238.5,8.115
239.0,8.125
239.5,8.124
240.0,8.144
240.5,8.114
241.0,8.100
241.5,8.059
242.0,8.036
242.5,8.044
243.0,8.068
243.5,8.068
244.0,7.991
244.5,7.939
245.0,7.949
245.5,7.972
246.0,8.022
246.5,8.010
247.0,8.003
247.5,7.972
248.0,7.956
248.5,7.956
249.0,7.981
249.5,7.984
250.0,8.029
250.5,8.006
251.0,7.981
251.5,7.945
252.0,7.922
252.5,7.905
253.0,7.931
253.5,7.977
254.0,7.989
254.5,7.968
255.0,7.935
255.5,7.954
256.0,7.891
256.5,7.929
257.0,7.953
257.5,7.989
258.0,7.975
258.5,7.971
259.0,7.989
259.5,7.991
260.0,7.989
260.5,7.980
261.0,8.018
261.5,8.044
262.0,8.063
262.5,8.075
263.0,8.049
263.5,8.081
264.0,8.018
264.5,8.037
265.0,8.024
265.5,8.071
266.0,8.072
266.5,8.100
267.0,8.104
267.5,8.107
268.0,8.140
268.5,8.151
269.0,8.164
269.5,8.090
270.0,8.109
270.5,8.120
271.0,8.136
271.5,8.101
272.0,8.106
272.5,8.138
273.0,8.136
273.5,8.148
274.0,8.135
274.5,8.173
275.0,8.193
275.5,8.195
276.0,8.196
276.5,8.196
277.0,8.200
277.5,8.221
278.0,8.179
278.5,8.215
279.0,8.227
279.5,8.252
280.0,8.235
280.5,8.212
281.0,8.259
281.5,8.258
282.0,8.244
282.5,8.232
283.0,8.297
283.5,8.291
284.0,8.283
284.5,8.269
285.0,8.332
285.5,8.372
286.0,8.385
286.5,8.377
287.0,8.363
287.5,8.389
288.0,8.389
288.5,8.406
