Wavelength (nm),Absorbance,"Energy, eV",Direct transition,Indirect transition
190.0,11.459,6.526315789473684,5592.804097108034,8.647835141327507
190.5,11.198,6.509186351706036,5312.932968783625,8.53755636973509
191.0,11.001,6.492146596858639,5100.831357079026,8.451041634736033
191.5,12.305,6.4751958224543085,6348.469680480473,8.926213340230014
192.0,13.148,6.458333333333333,7210.415700694443,9.214888315474402
192.5,14.004,6.441558441558442,8137.408286094789,9.49776733846352
193.0,13.226,6.424870466321243,7220.807862160059,9.218206809763208
193.5,12.733,6.40826873385013,6657.986492969842,9.033077315517327
194.0,12.233,6.391752577319588,6113.724465044108,8.842528443739976
194.5,12.424,6.375321336760925,6273.7476272982585,8.899831025807048
195.0,12.719,6.358974358974359,6541.541218503614,8.993319457897337
195.5,13.109,6.342710997442455,6913.356836378622,9.118475665673136
196.0,13.372,6.326530612244898,7156.883757767599,9.197737077506552
196.5,13.676,6.310432569974555,7447.944729913436,9.289858762487835
197.0,13.903,6.2944162436548226,7658.222208209438,9.354745802828264
197.5,13.984,6.2784810126582276,7708.53770422945,9.370073557929663
198.0,14.457,6.262626262626263,8197.272110560149,9.515187222476913
198.5,14.906,6.246851385390428,8670.50877129098,9.64964075759454
199.0,15.105,6.231155778894473,8858.877100073232,9.701629143612994
199.5,15.065,6.215538847117794,8767.90513526925,9.676626102719355
200.0,14.959,6.2,8601.783417640001,9.630462086525236
200.5,15.005,6.184538653366584,8611.654863837914,9.633223888904773
201.0,14.509,6.169154228855722,8011.728376663946,9.460880440343153
201.5,14.263,6.153846153846154,7703.977997633136,9.368687618461173
202.0,14.004,6.138613861386139,7390.006759180471,9.2717392389374
202.5,14.257,6.1234567901234565,7621.660760064622,9.343560534228379
203.0,14.665,6.108374384236453,8024.452841854933,9.46463471798186
203.5,14.969,6.093366093366093,8319.555436702905,9.550476273547673
204.0,14.998,6.078431372549019,8310.932097039598,9.548000509294614
204.5,14.779,6.06356968215159,8030.578724938277,9.466440531293605
205.0,14.822,6.048780487804878,8038.023398415227,9.468633712962177
205.5,14.824,6.034063260340632,8001.115330778293,9.457745702401262
206.0,15.169,6.019417475728155,8337.25015066453,9.555550412682694
206.5,14.765,6.004842615012106,7860.861796926757,9.416023641147772
207.0,15.128,5.990338164251208,8212.317114481084,9.519550186263649
207.5,15.119,5.975903614457831,8163.065895278849,9.505245222874997
208.0,15.338,5.961538461538462,8360.921911390533,9.562325915961917
208.5,15.134,5.947242206235012,8101.001469802002,9.487126200760727
209.0,15.091,5.9330143540669855,8016.5376448707675,9.46229991160843
209.5,15.217,5.918854415274463,8112.101891568173,9.490374472971627
210.0,15.184,5.904761904761905,8038.539886294784,9.468785812442098
210.5,15.29,5.890736342042755,8112.489371195151,9.490487799361723
211.0,15.217,5.876777251184834,7997.173918968578,9.456580747356817
211.5,15.482,5.862884160756501,8239.042690282737,9.527285687793357
212.0,15.507,5.849056603773585,8226.729586650052,9.523724101144309
212.5,15.723,5.8352941176470585,8417.755949849688,9.578534825941006
213.0,15.569,5.821596244131455,8214.962792073882,9.520316797506405
213.5,15.631,5.807962529274005,8241.782280462243,9.528077576042397
214.0,15.419,5.794392523364486,7982.303576591843,9.452181669739375
214.5,15.606,5.7808857808857805,8139.017503134627,9.498236862518405
215.0,15.442,5.767441860465116,7931.832724421849,9.437204946873958
215.5,15.818,5.7540603248259865,8284.226485912544,9.540321075210072
216.0,15.754,5.7407407407407405,8179.32660754458,9.50997526966446
216.5,15.892,5.727482678983834,8284.850609185605,9.540500759101226
217.0,15.827,5.714285714285714,8179.393599999999,9.509994742374992
217.5,15.723,5.7011494252873565,8035.181231029726,9.467796597614099
218.0,15.523,5.6880733944954125,7796.177135560978,9.396593175335
218.5,15.209,5.675057208237987,7449.751863508737,9.290422222918156
219.0,15.353,5.662100456621005,7556.864594116053,9.323638147767333
219.5,15.538,5.649202733485193,7704.856514742037,9.368954694782815
220.0,15.657,5.636363636363637,7787.805774842977,9.394069696065996
220.5,15.496,5.62358276643991,7593.909167509423,9.335043575085916
221.0,15.562,5.610859728506787,7624.118624401627,9.34431373055414
221.5,15.512,5.598194130925508,7541.044461157002,9.318754603428319
222.0,15.688,5.585585585585585,7678.432711111111,9.36091163651632
222.5,15.624,5.573033707865169,7581.721025882593,9.33129565771471
223.0,15.794,5.560538116591928,7712.9037461762755,9.371400056205738
223.5,15.604,5.5480984340044746,7494.802598113199,9.30443592939442
224.0,15.53,5.535714285714286,7390.779492984694,9.271981603580912
224.5,15.256,5.523385300668151,7100.55081380747,9.179584203382706
225.0,15.262,5.511111111111111,7074.589294111604,9.171181918257743
225.5,15.217,5.498891352549889,7001.778359917603,9.14749308344924
226.0,15.33,5.486725663716814,7074.745176599577,9.171232437615936
226.5,15.507,5.474613686534217,7207.132914100261,9.213839288650856
227.0,15.415,5.462555066079295,7090.530248209745,9.176343844016108
227.5,15.541,5.450549450549451,7175.273987307814,9.20363998703714
228.0,15.378,5.43859649122807,6994.7692066482,9.145202941548387
228.5,15.45,5.426695842450766,7029.556550426384,9.156552340584547
229.0,15.296,5.414847161572053,6860.063811933411,9.1008517284596
229.5,15.333,5.403050108932462,6863.288610295184,9.101921078555968
230.0,15.195,5.391304347826087,6711.02887032136,9.051014836205793
230.5,15.168,5.379609544468547,6658.220151841937,9.033156567363312
231.0,15.158,5.367965367965368,6620.689429478458,9.020400160060476
231.5,15.322,5.356371490280778,6735.53807721079,9.059267297860355
232.0,15.389,5.344827586206897,6765.317761028537,9.069264122526034
232.5,15.408,5.333333333333333,6752.894975999998,9.065097903497788
233.0,15.398,5.3218884120171674,6715.218662904087,9.052427175528138
233.5,15.309,5.310492505353319,6609.4184224899,9.016558643099591
234.0,15.161,5.299145299145299,6454.570533450215,8.9632774073071
234.5,15.034,5.287846481876333,6319.84996368629,8.916136159151495
235.0,15.05,5.276595744680851,6306.387397012223,8.91138406519699
235.5,14.978,5.265392781316348,6219.696597083496,8.880599815246505
236.0,15.001,5.254237288135593,6212.405370899168,8.877996032851222
236.5,14.924,5.2431289640591965,6122.820969612343,8.845815771290935
237.0,15.03,5.232067510548523,6183.931062329754,8.86780551678623
237.5,14.993,5.221052631578948,6127.639744574406,8.847555713600405
238.0,15.036,5.2100840336134455,6136.971271972319,8.850922185253454
238.5,15.026,5.19916142557652,6103.140565248385,8.838698975568338
239.0,14.985,5.188284518828452,6044.509479175783,8.817394372185262
239.5,15.024,5.177453027139875,6050.670240412132,8.819640257955507
240.0,15.032,5.166666666666667,6031.904001777778,8.812793730329409
240.5,14.932,5.155925155925156,5927.194399443296,8.774296235498003
241.0,14.833,5.145228215767635,5824.6157284895235,8.736084370270317
241.5,14.689,5.134575569358178,5688.444979567834,8.684571407864771
242.0,14.853,5.12396694214876,5792.166006393005,8.723891390413772
242.5,14.878,5.11340206185567,5787.739732399192,8.722224250515957
243.0,14.816,5.102880658436214,5716.007129428103,8.69507215814745
243.5,14.728,5.092402464065708,5625.135524430259,8.660306200750627
244.0,14.739,5.081967213114754,5610.4765998656285,8.654658557915406
244.5,14.843,5.071574642126789,5666.6843029662805,8.676253938946688
245.0,14.865,5.061224489795919,5660.320579092046,8.67381703985139
245.5,14.869,5.05091649694501,5640.322028755481,8.666145474954558
246.0,14.694,5.040650406504065,5485.96745841761,8.606237103006793
246.5,14.669,5.0304259634888435,5445.158679831638,8.590187335467013
247.0,14.616,5.020242914979757,5384.018363611926,8.565971657981605
247.5,14.76,5.01010101010101,5468.468046280992,8.599365727138887
248.0,14.734,5.0,5427.2689,8.583122974768566
248.5,14.701,4.989939637826962,5381.264504169483,8.564876100428666
249.0,14.659,4.979919678714859,5329.093815673941,8.54404134881621
249.5,14.64,4.969939879759519,5294.005935076565,8.529942546094865
250.0,14.575,4.96,5226.133264,8.502470229292191
250.5,14.591,4.950099800399202,5216.725977435946,8.498641431877495
251.0,14.634,4.940239043824701,5226.6332716242605,8.502673589367681
251.5,14.653,4.930417495029821,5219.398912740654,8.499729851864233
252.0,14.615,4.920634920634921,5171.778640085664,8.480275901471565
252.5,14.587,4.910891089108911,5131.597339780806,8.46375615887129
253.0,14.591,4.901185770750988,5114.138000368699,8.456547852464839
253.5,14.49,4.891518737672584,5023.7059822835345,8.41891361809086
254.0,14.453,4.881889763779528,4978.424697104595,8.39987813934854
254.5,14.42,4.87229862475442,4936.263309775707,8.382037113313132
255.0,14.525,4.862745098039215,4988.7907881584,8.404247292233826
255.5,14.529,4.853228962818004,4972.021625554436,8.39717593008404
256.0,14.601,4.84375,5001.82671291504,8.409732085506649
256.5,14.619,4.834307992202729,4994.6373859170335,8.406708543657958
257.0,14.595,4.824902723735408,4958.89967811776,8.391630071262572
257.5,14.528,4.815533980582524,4894.412467578849,8.364214109520566
258.0,14.414,4.8062015503875966,4799.245803881977,8.323255922251029
258.5,14.4,4.796905222437137,4771.415748496945,8.311163288198275
259.0,14.407,4.787644787644788,4757.633182307956,8.305154932666726
259.5,14.479,4.7784200385356455,4786.805509061817,8.317856919781537
260.0,14.448,4.769230769230769,4748.0156341775155,8.300954532693584
260.5,14.356,4.760076775431862,4669.762726686094,8.266538706623214
261.0,14.231,4.75095785440613,4571.231260163532,8.222583610158892
261.5,14.287,4.741873804971319,4589.676475611726,8.230865753468784
262.0,14.375,4.732824427480916,4628.672935726357,8.248293832365466
262.5,14.52,4.723809523809524,4704.548905795918,8.281890743406018
263.0,14.473,4.714828897338403,4656.386243987916,8.26061248523248
263.5,14.457,4.705882352941177,4628.481085121109,8.24820836160621
264.0,14.391,4.696969696969697,4568.961125826446,8.22156255885041
264.5,14.376,4.688090737240076,4542.219796778885,8.209506223797101
265.0,14.376,4.679245283018868,4525.095514953364,8.201757749938682
265.5,14.371,4.670433145009416,4504.932605595809,8.192606101048085
266.0,14.347,4.661654135338346,4473.034971993894,8.178065289522898
266.5,14.29,4.652908067542214,4420.927584806169,8.154143504082953
267.0,14.314,4.644194756554307,4419.192026955071,8.153343102391704
267.5,14.266,4.635514018691588,4373.209038002969,8.132050355885298
268.0,14.251,4.626865671641791,4347.7489855424365,8.12018858688437
268.5,14.215,4.618249534450651,4309.714671965433,8.102371080876019
269.0,14.222,4.609665427509293,4297.938125211094,8.09683034958972
269.5,14.184,4.601113172541744,4259.1533443103945,8.078501670441872
270.0,14.04,4.592592592592593,4157.670399999999,8.029943959953892
270.5,14.035,4.584103512014788,4139.364448802621,8.021090498874049
271.0,13.972,4.575645756457565,4087.1628528805436,7.995681491231695
271.5,14.112,4.567219152854512,4154.1372194499545,8.028237458189865
272.0,14.036,4.5588235294117645,4094.418976124567,7.9992279039181975
272.5,14.093,4.5504587155963305,4112.607478864069,8.008096820025285
273.0,13.958,4.542124542124542,4019.429949769888,7.962347289523006
