Wavelength (nm),Absorbance
190.0,11.459
190.5,11.198
191.0,11.001
191.5,12.305
192.0,13.148
192.5,14.004
193.0,13.226
193.5,12.733
194.0,12.233
194.5,12.424
195.0,12.719
195.5,13.109
196.0,13.372
196.5,13.676
197.0,13.903
197.5,13.984
198.0,14.457
198.5,14.906
199.0,15.105
199.5,15.065
200.0,14.959
200.5,15.005
201.0,14.509
201.5,14.263
202.0,14.004
202.5,14.257
203.0,14.665
203.5,14.969
204.0,14.998
204.5,14.779
205.0,14.822
205.5,14.824
206.0,15.169
206.5,14.765
207.0,15.128
207.5,15.119
208.0,15.338
208.5,15.134
209.0,15.091
209.5,15.217
210.0,15.184
210.5,15.290
211.0,15.217
211.5,15.482
212.0,15.507
212.5,15.723
213.0,15.569
213.5,15.631
214.0,15.419
214.5,15.606
215.0,15.442
215.5,15.818
216.0,15.754
216.5,15.892
217.0,15.827
217.5,15.723
218.0,15.523
218.5,15.209
219.0,15.353
219.5,15.538
220.0,15.657
220.5,15.496
221.0,15.562
221.5,15.512
222.0,15.688
222.5,15.624
223.0,15.794
223.5,15.604
224.0,15.530
224.5,15.256
225.0,15.262
225.5,15.217
226.0,15.330
226.5,15.507
227.0,15.415
227.5,15.541
228.0,15.378
228.5,15.450
229.0,15.296
229.5,15.333
230.0,15.195
230.5,15.168
231.0,15.158
231.5,15.322
232.0,15.389
232.5,15.408
233.0,15.398
233.5,15.309
234.0,15.161
234.5,15.034
235.0,15.050
235.5,14.978
236.0,15.001
236.5,14.924
237.0,15.030
237.5,14.993
238.0,15.036
238.5,15.026
239.0,14.985
239.5,15.024
240.0,15.032
240.5,14.932
241.0,14.833
241.5,14.689
242.0,14.853
242.5,14.878
243.0,14.816
243.5,14.728
244.0,14.739
244.5,14.843
245.0,14.865
245.5,14.869
246.0,14.694
246.5,14.669
247.0,14.616
247.5,14.760
248.0,14.734
248.5,14.701
249.0,14.659
249.5,14.640
250.0,14.575
250.5,14.591
251.0,14.634
251.5,14.653
252.0,14.615
252.5,14.587
253.0,14.591
253.5,14.490
254.0,14.453
254.5,14.420
255.0,14.525
255.5,14.529
256.0,14.601
256.5,14.619
257.0,14.595
257.5,14.528
258.0,14.414
258.5,14.400
259.0,14.407
259.5,14.479
260.0,14.448
260.5,14.356
261.0,14.231
261.5,14.287
262.0,14.375
262.5,14.520
263.0,14.473
263.5,14.457
264.0,14.391
264.5,14.376
265.0,14.376
265.5,14.371
266.0,14.347
266.5,14.290
267.0,14.314
267.5,14.266
268.0,14.251
268.5,14.215
269.0,14.222
269.5,14.184
270.0,14.040
270.5,14.035
271.0,13.972
271.5,14.112
272.0,14.036
272.5,14.093
273.0,13.958
273.5,14.000
274.0,13.922
274.5,13.890
275.0,13.896
275.5,13.859
276.0,13.927
276.5,13.887
277.0,13.965
277.5,13.864
278.0,13.889
278.5,13.868
279.0,14.004
279.5,13.931
280.0,13.903
280.5,13.861
281.0,13.854
281.5,13.836
282.0,13.755
282.5,13.705
283.0,13.768
283.5,13.728
284.0,13.802
284.5,13.752
285.0,13.787
285.5,13.775
286.0,13.754
286.5,13.743
287.0,13.687
287.5,13.729
288.0,13.667
288.5,13.680
289.0,13.566
289.5,13.663
290.0,13.689
290.5,13.687
291.0,13.631
291.5,13.637
292.0,13.723
292.5,13.771
293.0,13.750
293.5,13.624
294.0,13.598
294.5,13.621
295.0,13.679
295.5,13.680
296.0,13.682
296.5,13.700
297.0,13.674
297.5,13.551
298.0,13.534
298.5,13.503
299.0,13.491
299.5,13.487
300.0,13.541
300.5,13.639
301.0,13.697
301.5,13.713
302.0,13.661
302.5,13.620
303.0,13.572
303.5,13.597
304.0,13.611
304.5,13.612
305.0,13.661
305.5,13.704
306.0,13.763
306.5,13.775
307.0,13.629
307.5,13.549
308.0,13.486
308.5,13.572
309.0,13.530
309.5,13.504
310.0,13.450
310.5,13.467
311.0,13.440
311.5,13.525
312.0,13.535
312.5,13.616
313.0,13.521
313.5,13.512
314.0,13.390
314.5,13.318
315.0,13.317
315.5,13.326
316.0,13.355
316.5,13.307
317.0,13.382
317.5,13.450
318.0,13.458
318.5,13.260
319.0,13.162
319.5,13.086
320.0,13.222
320.5,13.242
321.0,13.264
321.5,13.206
322.0,13.157
322.5,13.135
323.0,13.094
323.5,13.049
324.0,13.037
324.5,13.025
325.0,13.058
325.5,12.921
326.0,12.881
326.5,12.815
327.0,12.878
327.5,12.840
328.0,12.788
328.5,12.716
329.0,12.625
329.5,12.612
330.0,12.614
330.5,12.602
331.0,12.516
331.5,12.514
332.0,12.476
332.5,12.465
333.0,12.329
333.5,12.249
334.0,12.148
334.5,12.113
335.0,12.076
335.5,12.037
336.0,12.039
336.5,12.036
337.0,12.016
337.5,11.910
338.0,11.853
338.5,11.838
339.0,11.829
339.5,11.726
340.0,11.651
340.5,11.589
341.0,11.601
341.5,11.470
342.0,11.408
342.5,11.273
343.0,11.227
343.5,11.094
344.0,11.042
344.5,10.963
345.0,10.899
345.5,10.798
346.0,10.759
346.5,10.681
347.0,10.659
347.5,10.556
348.0,10.466
348.5,10.329
349.0,10.240
349.5,10.153
350.0,10.035
350.5,9.918
351.0,9.815
351.5,9.730
352.0,9.631
352.5,9.483
353.0,9.394
353.5,9.303
354.0,9.237
354.5,9.101
355.0,8.967
355.5,8.819
356.0,8.681
356.5,8.537
357.0,8.433
357.5,8.324
358.0,8.201
358.5,8.098
359.0,7.941
359.5,7.826
360.0,7.683
360.5,7.571
361.0,7.399
361.5,7.238
362.0,7.079
362.5,6.981
363.0,6.873
363.5,6.758
364.0,6.599
364.5,6.438
365.0,6.289
365.5,6.131
366.0,5.986
366.5,5.869
367.0,5.744
367.5,5.608
368.0,5.449
368.5,5.323
369.0,5.184
369.5,5.051
370.0,4.904
370.5,4.763
371.0,4.635
371.5,4.522
372.0,4.382
372.5,4.236
373.0,4.084
373.5,3.967
374.0,3.849
374.5,3.740
375.0,3.622
375.5,3.507
376.0,3.384
376.5,3.271
377.0,3.160
377.5,3.053
378.0,2.939
378.5,2.836
379.0,2.735
379.5,2.647
380.0,2.555
380.5,2.463
381.0,2.366
381.5,2.280
382.0,2.198
382.5,2.125
383.0,2.044
383.5,1.963
384.0,1.884
384.5,1.813
385.0,1.741
385.5,1.671
386.0,1.603
386.5,1.538
387.0,1.475
387.5,1.414
388.0,1.357
388.5,1.302
389.0,1.249
389.5,1.196
390.0,1.146
390.5,1.096
391.0,1.050
391.5,1.005
392.0,0.963
392.5,0.920
393.0,0.878
393.5,0.837
394.0,0.799
394.5,0.764
395.0,0.729
395.5,0.696
396.0,0.664
396.5,0.635
397.0,0.607
397.5,0.579
398.0,0.553
398.5,0.526
399.0,0.502
399.5,0.479
400.0,0.457
400.5,0.435
401.0,0.414
401.5,0.395
402.0,0.375
402.5,0.358
403.0,0.341
403.5,0.323
404.0,0.306
404.5,0.290
405.0,0.276
405.5,0.263
406.0,0.251
406.5,0.238
407.0,0.225
407.5,0.215
408.0,0.204
408.5,0.194
409.0,0.184
409.5,0.174
410.0,0.165
410.5,0.156
411.0,0.147
411.5,0.138
412.0,0.131
412.5,0.124
413.0,0.118
413.5,0.111
414.0,0.106
414.5,0.100
415.0,0.095
415.5,0.090
416.0,0.085
416.5,0.080
417.0,0.075
417.5,0.071
418.0,0.067
418.5,0.063
419.0,0.060
419.5,0.056
420.0,0.053
420.5,0.050
421.0,0.047
421.5,0.045
422.0,0.042
422.5,0.039
423.0,0.036
423.5,0.034
424.0,0.032
424.5,0.030
425.0,0.028
425.5,0.027
426.0,0.025
426.5,0.023
427.0,0.022
427.5,0.020
428.0,0.019
428.5,0.018
429.0,0.016
429.5,0.015
430.0,0.014
430.5,0.013
431.0,0.012
431.5,0.011
432.0,0.011
432.5,0.010
